fips,name,type,state,CBSA
51021,Bland,county,Virginia,"Bluefield, WV-VA"
13023,Bleckley,county,Georgia,
47007,Bledsoe,county,Tennessee,
01009,Blount,county,Alabama,"Birmingham-Hoover, AL"
47009,Blount,county,Tennessee,"Knoxville, TN"
27013,Blue Earth,county,Minnesota,"Mankato, MN"
16015,Boise,county,Idaho,"Boise City, ID"
28011,Bolivar,county,Mississippi,"Cleveland, MS"
29017,Bollinger,county,Missouri,"Cape Girardeau, MO-IL"
46009,Bon Homme,county,South Dakota,
17005,Bond,county,Illinois,"St. Louis, MO-IL"
16017,Bonner,county,Idaho,"Sandpoint, ID"
16019,Bonneville,county,Idaho,"Idaho Falls, ID"
05009,Boone,county,Arkansas,"Harrison, AR"
17007,Boone,county,Illinois,"Rockford, IL"
18011,Boone,county,Indiana,"Indianapolis-Carmel-Anderson, IN"
19015,Boone,county,Iowa,"Ames, IA"
21015,Boone,county,Kentucky,"Cincinnati, OH-KY-IN"
29019,Boone,county,Missouri,"Columbia, MO"
31011,Boone,county,Nebraska,
54005,Boone,county,West Virginia,"Charleston, WV"
48033,Borden,county,Texas,
48035,Bosque,county,Texas,
22015,Bossier,county,Louisiana,"Shreveport-Bossier City, LA"
51023,Botetourt,county,Virginia,"Roanoke, VA"
38009,Bottineau,county,North Dakota,
08013,Boulder,county,Colorado,"Boulder, CO"
16021,Boundary,county,Idaho,
20011,Bourbon,county,Kansas,
21017,Bourbon,county,Kentucky,"Lexington-Fayette, KY"
48037,Bowie,county,Texas,"Texarkana, TX-AR"
38011,Bowman,county,North Dakota,
31013,Box Butte,county,Nebraska,
49003,Box Elder,county,Utah,"Ogden-Clearfield, UT"
21019,Boyd,county,Kentucky,"Huntington-Ashland, WV-KY-OH"
31015,Boyd,county,Nebraska,
21021,Boyle,county,Kentucky,"Danville, KY"
21023,Bracken,county,Kentucky,"Cincinnati, OH-KY-IN"
12007,Bradford,county,Florida,
42015,Bradford,county,Pennsylvania,"Sayre, PA"
05011,Bradley,county,Arkansas,
47011,Bradley,county,Tennessee,"Cleveland, TN"
26023,Branch,county,Michigan,"Coldwater, MI"
13025,Brantley,county,Georgia,"Brunswick, GA"
54007,Braxton,county,West Virginia,
48039,Brazoria,county,Texas,"Houston-The Woodlands-Sugar Land, TX"
48041,Brazos,county,Texas,"College Station-Bryan, TX"
21025,Breathitt,county,Kentucky,
21027,Breckinridge,county,Kentucky,
19017,Bremer,county,Iowa,"Waterloo-Cedar Falls, IA"
12009,Brevard,county,Florida,"Palm Bay-Melbourne-Titusville, FL"
48043,Brewster,county,Texas,
48045,Briscoe,county,Texas,
02060,Bristol Bay,county,Alaska,
25005,Bristol,county,Massachusetts,"Providence-Warwick, RI-MA"
44001,Bristol,county,Rhode Island,"Providence-Warwick, RI-MA"
51520,Bristol,county,Virginia,"Kingsport-Bristol, TN-VA"
30007,Broadwater,county,Montana,
36005,Bronx,county,New York,"New York-Newark-Jersey City, NY-NJ-PA"
54009,Brooke,county,West Virginia,"Weirton-Steubenville, WV-OH"
46011,Brookings,county,South Dakota,"Brookings, SD"
13027,Brooks,county,Georgia,"Valdosta, GA"
48047,Brooks,county,Texas,
36007,Broome,county,New York,"Binghamton, NY"
08014,Broomfield,county,Colorado,"Denver-Aurora-Lakewood, CO"
12011,Broward,county,Florida,"Miami-Fort Lauderdale-Pompano Beach, FL"
17009,Brown,county,Illinois,
18013,Brown,county,Indiana,"Indianapolis-Carmel-Anderson, IN"
20013,Brown,county,Kansas,
27015,Brown,county,Minnesota,"New Ulm, MN"
31017,Brown,county,Nebraska,
39015,Brown,county,Ohio,"Cincinnati, OH-KY-IN"
46013,Brown,county,South Dakota,"Aberdeen, SD"
48049,Brown,county,Texas,"Brownwood, TX"
55009,Brown,county,Wisconsin,"Green Bay, WI"
46015,Brule,county,South Dakota,
37019,Brunswick,county,North Carolina,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
51025,Brunswick,county,Virginia,
13029,Bryan,county,Georgia,"Savannah, GA"
40013,Bryan,county,Oklahoma,"Durant, OK"
19019,Buchanan,county,Iowa,
29021,Buchanan,county,Missouri,"St. Joseph, MO-KS"
51027,Buchanan,county,Virginia,
51029,Buckingham,county,Virginia,
42017,Bucks,county,Pennsylvania,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
19021,Buena Vista,county,Iowa,"Storm Lake, IA"
51530,Buena Vista,county,Virginia,
31019,Buffalo,county,Nebraska,"Kearney, NE"
46017,Buffalo,county,South Dakota,
55011,Buffalo,county,Wisconsin,
21029,Bullitt,county,Kentucky,"Louisville/Jefferson County, KY-IN"
13031,Bulloch,county,Georgia,"Statesboro, GA"
01011,Bullock,county,Alabama,
37021,Buncombe,county,North Carolina,"Asheville, NC"
17011,Bureau,county,Illinois,"Ottawa, IL"
13033,Burke,county,Georgia,"Augusta-Richmond County, GA-SC"
37023,Burke,county,North Carolina,"Hickory-Lenoir-Morganton, NC"
38013,Burke,county,North Dakota,
38015,Burleigh,county,North Dakota,"Bismarck, ND"
48051,Burleson,county,Texas,"College Station-Bryan, TX"
34005,Burlington,county,New Jersey,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
48053,Burnet,county,Texas,
55013,Burnett,county,Wisconsin,
31021,Burt,county,Nebraska,
01013,Butler,county,Alabama,
19023,Butler,county,Iowa,
20015,Butler,county,Kansas,"Wichita, KS"
21031,Butler,county,Kentucky,"Bowling Green, KY"
29023,Butler,county,Missouri,"Poplar Bluff, MO"
31023,Butler,county,Nebraska,
39017,Butler,county,Ohio,"Cincinnati, OH-KY-IN"
42019,Butler,county,Pennsylvania,"Pittsburgh, PA"
06007,Butte,county,California,"Chico, CA"
16023,Butte,county,Idaho,"Idaho Falls, ID"
46019,Butte,county,South Dakota,
13035,Butts,county,Georgia,"Atlanta-Sandy Springs-Alpharetta, GA"
37025,Cabarrus,county,North Carolina,"Charlotte-Concord-Gastonia, NC-SC"
54011,Cabell,county,West Virginia,"Huntington-Ashland, WV-KY-OH"
49005,Cache,county,Utah,"Logan, UT-ID"
22017,Caddo,county,Louisiana,"Shreveport-Bossier City, LA"
40015,Caddo,county,Oklahoma,
06009,Calaveras,county,California,
22019,Calcasieu,county,Louisiana,"Lake Charles, LA"
21033,Caldwell,county,Kentucky,
22021,Caldwell,county,Louisiana,
29025,Caldwell,county,Missouri,"Kansas City, MO-KS"
37027,Caldwell,county,North Carolina,"Hickory-Lenoir-Morganton, NC"
48055,Caldwell,county,Texas,"Austin-Round Rock-Georgetown, TX"
50005,Caledonia,county,Vermont,
01015,Calhoun,county,Alabama,"Anniston-Oxford, AL"
05013,Calhoun,county,Arkansas,"Camden, AR"
12013,Calhoun,county,Florida,
13037,Calhoun,county,Georgia,
17013,Calhoun,county,Illinois,"St. Louis, MO-IL"
19025,Calhoun,county,Iowa,
26025,Calhoun,county,Michigan,"Battle Creek, MI"
28013,Calhoun,county,Mississippi,
45017,Calhoun,county,South Carolina,"Columbia, SC"
48057,Calhoun,county,Texas,"Port Lavaca, TX"
54013,Calhoun,county,West Virginia,
48059,Callahan,county,Texas,"Abilene, TX"
29027,Callaway,county,Missouri,"Jefferson City, MO"
21035,Calloway,county,Kentucky,"Murray, KY"
55015,Calumet,county,Wisconsin,"Appleton, WI"
24009,Calvert,county,Maryland,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
16025,Camas,county,Idaho,"Hailey, ID"
42021,Cambria,county,Pennsylvania,"Johnstown, PA"
13039,Camden,county,Georgia,"St. Marys, GA"
29029,Camden,county,Missouri,
34007,Camden,county,New Jersey,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
37029,Camden,county,North Carolina,"Virginia Beach-Norfolk-Newport News, VA-NC"
22023,Cameron,county,Louisiana,"Lake Charles, LA"
42023,Cameron,county,Pennsylvania,
48061,Cameron,county,Texas,"Brownsville-Harlingen, TX"
48063,Camp,county,Texas,"Mount Pleasant, TX"
21037,Campbell,county,Kentucky,"Cincinnati, OH-KY-IN"
46021,Campbell,county,South Dakota,
47013,Campbell,county,Tennessee,"Knoxville, TN"
51031,Campbell,county,Virginia,"Lynchburg, VA"
56005,Campbell,county,Wyoming,"Gillette, WY"
40017,Canadian,county,Oklahoma,"Oklahoma City, OK"
13043,Candler,county,Georgia,
47015,Cannon,county,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN"
16027,Canyon,county,Idaho,"Boise City, ID"
29031,Cape Girardeau,county,Missouri,"Cape Girardeau, MO-IL"
34009,Cape May,county,New Jersey,"Ocean City, NJ"
30009,Carbon,county,Montana,"Billings, MT"
42025,Carbon,county,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ"
49007,Carbon,county,Utah,"Price, UT"
56007,Carbon,county,Wyoming,
16029,Caribou,county,Idaho,
21039,Carlisle,county,Kentucky,
27017,Carlton,county,Minnesota,"Duluth, MN-WI"
24011,Caroline,county,Maryland,
51033,Caroline,county,Virginia,
05015,Carroll,county,Arkansas,
13045,Carroll,county,Georgia,"Atlanta-Sandy Springs-Alpharetta, GA"
17015,Carroll,county,Illinois,
18015,Carroll,county,Indiana,"Lafayette-West Lafayette, IN"
19027,Carroll,county,Iowa,"Carroll, IA"
21041,Carroll,county,Kentucky,
24013,Carroll,county,Maryland,"Baltimore-Columbia-Towson, MD"
28015,Carroll,county,Mississippi,"Greenwood, MS"
29033,Carroll,county,Missouri,
33003,Carroll,county,New Hampshire,
39019,Carroll,county,Ohio,"Canton-Massillon, OH"
47017,Carroll,county,Tennessee,
51035,Carroll,county,Virginia,
32510,Carson City,county,Nevada,"Carson City, NV"
48065,Carson,county,Texas,"Amarillo, TX"
21043,Carter,county,Kentucky,"Huntington-Ashland, WV-KY-OH"
29035,Carter,county,Missouri,
30011,Carter,county,Montana,
40019,Carter,county,Oklahoma,"Ardmore, OK"
47019,Carter,county,Tennessee,"Johnson City, TN"
37031,Carteret,county,North Carolina,"Morehead City, NC"
27019,Carver,county,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI"
30013,Cascade,county,Montana,"Great Falls, MT"
21045,Casey,county,Kentucky,
17017,Cass,county,Illinois,
18017,Cass,county,Indiana,"Logansport, IN"
19029,Cass,county,Iowa,
26027,Cass,county,Michigan,"South Bend-Mishawaka, IN-MI"
27021,Cass,county,Minnesota,"Brainerd, MN"
29037,Cass,county,Missouri,"Kansas City, MO-KS"
31025,Cass,county,Nebraska,"Omaha-Council Bluffs, NE-IA"
38017,Cass,county,North Dakota,"Fargo, ND-MN"
48067,Cass,county,Texas,
16031,Cassia,county,Idaho,"Burley, ID"
48069,Castro,county,Texas,
37033,Caswell,county,North Carolina,
22025,Catahoula,county,Louisiana,
37035,Catawba,county,North Carolina,"Hickory-Lenoir-Morganton, NC"
13047,Catoosa,county,Georgia,"Chattanooga, TN-GA"
35003,Catron,county,New Mexico,
36009,Cattaraugus,county,New York,"Olean, NY"
38019,Cavalier,county,North Dakota,
36011,Cayuga,county,New York,"Auburn, NY"
24015,Cecil,county,Maryland,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
19031,Cedar,county,Iowa,
29039,Cedar,county,Missouri,
31027,Cedar,county,Nebraska,
42027,Centre,county,Pennsylvania,"State College, PA"
19033,Cerro Gordo,county,Iowa,"Mason City, IA"
08015,Chaffee,county,Colorado,
01017,Chambers,county,Alabama,"LaGrange, GA-AL"
48071,Chambers,county,Texas,"Houston-The Woodlands-Sugar Land, TX"
17019,Champaign,county,Illinois,"Champaign-Urbana, IL"
39021,Champaign,county,Ohio,"Urbana, OH"
29041,Chariton,county,Missouri,
51036,Charles City,county,Virginia,"Richmond, VA"
46023,Charles Mix,county,South Dakota,
24017,Charles,county,Maryland,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
45019,Charleston,county,South Carolina,"Charleston-North Charleston, SC"
26029,Charlevoix,county,Michigan,
12015,Charlotte,county,Florida,"Punta Gorda, FL"
51037,Charlotte,county,Virginia,
51540,Charlottesville,county,Virginia,"Charlottesville, VA"
13049,Charlton,county,Georgia,
20017,Chase,county,Kansas,"Emporia, KS"
31029,Chase,county,Nebraska,
13051,Chatham,county,Georgia,"Savannah, GA"
37037,Chatham,county,North Carolina,"Durham-Chapel Hill, NC"
13053,Chattahoochee,county,Georgia,"Columbus, GA-AL"
13055,Chattooga,county,Georgia,"Summerville, GA"
20019,Chautauqua,county,Kansas,
36013,Chautauqua,county,New York,"Jamestown-Dunkirk-Fredonia, NY"
35005,Chaves,county,New Mexico,"Roswell, NM"
47021,Cheatham,county,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN"
26031,Cheboygan,county,Michigan,
53007,Chelan,county,Washington,"Wenatchee, WA"
36015,Chemung,county,New York,"Elmira, NY"
36017,Chenango,county,New York,
01019,Cherokee,county,Alabama,
13057,Cherokee,county,Georgia,"Atlanta-Sandy Springs-Alpharetta, GA"
19035,Cherokee,county,Iowa,
20021,Cherokee,county,Kansas,
37039,Cherokee,county,North Carolina,
40021,Cherokee,county,Oklahoma,"Tahlequah, OK"
45021,Cherokee,county,South Carolina,"Gaffney, SC"
48073,Cherokee,county,Texas,"Jacksonville, TX"
31031,Cherry,county,Nebraska,
51550,Chesapeake,county,Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC"
33005,Cheshire,county,New Hampshire,"Keene, NH"
42029,Chester,county,Pennsylvania,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
45023,Chester,county,South Carolina,"Charlotte-Concord-Gastonia, NC-SC"
47023,Chester,county,Tennessee,"Jackson, TN"
45025,Chesterfield,county,South Carolina,
51041,Chesterfield,county,Virginia,"Richmond, VA"
08017,Cheyenne,county,Colorado,
20023,Cheyenne,county,Kansas,
31033,Cheyenne,county,Nebraska,
19037,Chickasaw,county,Iowa,
28017,Chickasaw,county,Mississippi,
05017,Chicot,county,Arkansas,
48075,Childress,county,Texas,
01021,Chilton,county,Alabama,"Birmingham-Hoover, AL"
26033,Chippewa,county,Michigan,"Sault Ste. Marie, MI"
27023,Chippewa,county,Minnesota,
55017,Chippewa,county,Wisconsin,"Eau Claire, WI"
27025,Chisago,county,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI"
50007,Chittenden,county,Vermont,"Burlington-South Burlington, VT"
01023,Choctaw,county,Alabama,
28019,Choctaw,county,Mississippi,
40023,Choctaw,county,Oklahoma,
30015,Chouteau,county,Montana,
37041,Chowan,county,North Carolina,
17021,Christian,county,Illinois,"Taylorville, IL"
21047,Christian,county,Kentucky,"Clarksville, TN-KY"
29043,Christian,county,Missouri,"Springfield, MO"
32001,Churchill,county,Nevada,"Fallon, NV"
35006,Cibola,county,New Mexico,"Grants, NM"
40025,Cimarron,county,Oklahoma,
12017,Citrus,county,Florida,"Homosassa Springs, FL"
41005,Clackamas,county,Oregon,"Portland-Vancouver-Hillsboro, OR-WA"
22027,Claiborne,county,Louisiana,
28021,Claiborne,county,Mississippi,
47025,Claiborne,county,Tennessee,
53009,Clallam,county,Washington,"Port Angeles, WA"
26035,Clare,county,Michigan,
45027,Clarendon,county,South Carolina,"Sumter, SC"
42031,Clarion,county,Pennsylvania,
05019,Clark,county,Arkansas,"Arkadelphia, AR"
16033,Clark,county,Idaho,
17023,Clark,county,Illinois,
18019,Clark,county,Indiana,"Louisville/Jefferson County, KY-IN"
20025,Clark,county,Kansas,
21049,Clark,county,Kentucky,"Lexington-Fayette, KY"
29045,Clark,county,Missouri,"Fort Madison-Keokuk, IA-IL-MO"
32003,Clark,county,Nevada,"Las Vegas-Henderson-Paradise, NV"
39023,Clark,county,Ohio,"Springfield, OH"
46025,Clark,county,South Dakota,
53011,Clark,county,Washington,"Portland-Vancouver-Hillsboro, OR-WA"
55019,Clark,county,Wisconsin,
01025,Clarke,county,Alabama,
13059,Clarke,county,Georgia,"Athens-Clarke County, GA"
19039,Clarke,county,Iowa,
28023,Clarke,county,Mississippi,"Meridian, MS"
51043,Clarke,county,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
41007,Clatsop,county,Oregon,"Astoria, OR"
01027,Clay,county,Alabama,
05021,Clay,county,Arkansas,
12019,Clay,county,Florida,"Jacksonville, FL"
13061,Clay,county,Georgia,
17025,Clay,county,Illinois,
18021,Clay,county,Indiana,"Terre Haute, IN"
